index	ts	te
acoustic	1986	2000
age	1988	2000
alternative	1982	2000
ambient	1986	2000
anarcho	1984	2000
aor	1982	2000
art	2000	2000
atmospheric	1989	2000
avantgarde	1983	2000
ballad	1994	2000
black	1980	2000
blackened	1985	2000
blues	1976	2000
brutal	1986	2000
celtic	1989	2000
classical	1992	2000
country	1992	2000
cowpunk	1999	2000
crossover	1981	2000
crust	1979	2000
cybergrind	1990	2000
dark	1990	2000
darkwave	1988	2000
death	1982	2000
deathcore	1989	2000
deathrock	1992	2000
depressive	1991	2000
deutsche	1994	2000
djent	1989	2000
doom	1969	2000
drone	1990	2000
eastern	1990	2000
ebm	1981	2000
ebmgothic	1992	2000
electro	1993	2000
electronic	1983	2000
electronica	1993	2000
electronics	1990	2000
epic	1979	2000
experimental	1984	2000
extreme	1988	2000
folk	1978	2000
funeral	1991	2000
funk	1980	2000
fusion	1986	2000
game	1998	2000
glam	1972	2000
goregrind	1987	2000
gospel	1971	1998
gothic	1984	2000
grind	1992	2000
grindcore	1982	2000
groove	1982	2000
grunge	1986	2000
hard	1968	2000
hardcore	1977	2000
harsh	1994	2000
heavy	1968	2000
hiphop	1995	2000
hop	1995	2000
horror	2000	2000
hÃrte	1994	2000
indie	2000	2000
industrial	1981	2000
jazz	1987	2000
jazzy	1987	2000
jrock	1988	1999
martial	1995	2000
mathcore	1999	2000
medieval	1993	2000
melodic	1979	2000
metalcore	1986	2000
metalrock	1990	2000
middle	1990	2000
music	1995	2000
neoclassical	1978	2000
neofolk	1990	2000
neue	1994	2000
new	1981	2000
noise	1985	2000
noisecore	1989	2000
noisegrind	1998	2000
nroll	1986	2000
numetal	1985	2000
nwobhm	1977	2000
oi	1980	2000
opera	2000	2000
operatic	1989	2000
orchestral	1992	2000
pagan	1991	2000
pop	1972	2000
post	1994	2000
postgrunge	1999	2000
posthardcore	1986	2000
postindustrial	1994	2000
postmetal	1992	2000
postmetalrock	1995	2000
postpunk	1984	2000
postrock	1990	2000
power	1975	2000
powerviolence	1990	2000
progressive	1970	2000
psychedelic	1970	2000
psychobilly	1990	2000
punk	1977	2000
punkcore	1994	2000
rac	1985	2000
rapcore	1995	2000
rautalanka	1997	2000
raw	1988	2000
reggae	1995	2000
ritual	1992	2000
rock	1968	2000
shred	1978	2000
ska	1991	2000
sludge	1982	2000
southern	1982	2000
space	1985	2000
speed	1977	2000
speedcore	2000	2000
stoner	1980	2000
symphonic	1986	2000
technical	1984	2000
techno	1984	2000
thrash	1977	2000
thrashcore	1986	2000
tribal	1986	2000
trip	1995	2000
urban	1983	2000
various	1971	2000
viking	1984	2000
wall	1994	2000
wave	1981	2000
world	1995	2000
